DATE,TIME,O,H,L,C
20150105,13:36,8390.45,8391.4,8390,8390.05
20150105,13:37,8390.15,8392.5,8390.15,8390.15
20150105,13:38,8390.35,8390.35,8387.8,8388.2
20150105,13:39,8388.35,8390.85,8388.2,8389.7
20150105,13:40,8389.75,8392.05,8389.75,8390.85
20150105,13:41,8390.7,8398.2,8390.7,8396.7
20150105,13:42,8396.55,8398,8395.85,8396.1
20150105,13:43,8397,8397.45,8395.95,8396.85
20150105,13:44,8397,8398.05,8396.35,8397.35
20150105,13:45,8397.65,8398.95,8397.3,8397.3
20150105,13:46,8397.85,8400.2,8397.5,8398.95
20150105,13:47,8399.35,8402.3,8399.35,8400.45
20150105,13:48,8400.4,8401.55,8399.75,8400.55
20150105,13:49,8400.8,8402.7,8400.65,8402.05
20150105,13:50,8401.8,8406.5,8401.65,8404.85
20150105,13:51,8404.9,8405.85,8404.1,8405.3
20150105,13:52,8405.4,8405.95,8404.5,8404.95
20150105,13:53,8405.25,8407,8404.55,8407
20150105,13:54,8407.25,8408.7,8406.2,8406.2
20150105,13:55,8406.45,8409.15,8406.35,8408.65
20150105,13:56,8408.8,8411.2,8408.6,8409.55
20150105,13:57,8409.8,8410.95,8407.45,8408.85
20150105,13:58,8409.45,8413.05,8409.45,8411.05
20150105,13:59,8411.1,8413.8,8411.1,8412.6
20150105,14:00,8412.45,8413.1,8409.95,8409.95
20150105,14:01,8410.1,8410.95,8408.85,8409.45
20150105,14:02,8409.5,8410.3,8408.3,8408.35
20150105,14:03,8408.1,8408.65,8404.6,8404.6
20150105,14:04,8404.4,8406.65,8403.85,8405.95
20150105,14:05,8405.75,8407.75,8404.75,8406.4
20150105,14:06,8406.3,8407.75,8406.15,8406.65
20150105,14:07,8406.55,8408.2,8405.2,8405.2
20150105,14:08,8405.3,8405.45,8403.05,8404.85
20150105,14:09,8404.65,8405.8,8403.45,8404.25
20150105,14:10,8403.95,8405.6,8403.8,8404
20150105,14:11,8404.15,8406.85,8404.15,8406.7
20150105,14:12,8406.5,8408.15,8406.5,8407.05
20150105,14:13,8406.8,8407.3,8404.1,8404.1
20150105,14:14,8403.6,8404.2,8401.55,8402.1
20150105,14:15,8402.25,8404.4,8401.55,8403.75
20150105,14:16,8404.05,8406,8403.05,8403.05
20150105,14:17,8403.25,8403.25,8400.45,8401.1
20150105,14:18,8401.3,8402.3,8399.85,8400.35
20150105,14:19,8400.8,8402.65,8399.85,8399.85
20150105,14:20,8399.45,8400.55,8397.05,8398.2
20150105,14:21,8398.15,8400.55,8397.9,8399.15
20150105,14:22,8399.35,8400.05,8398.15,8399.25
20150105,14:23,8399.3,8401.9,8399.3,8400.8
20150105,14:24,8400.75,8402.3,8393.85,8393.95
20150105,14:25,8394.75,8395,8390.25,8390.4
20150105,14:26,8390.25,8392.15,8389.3,8389.95
20150105,14:27,8390.05,8390.85,8387.9,8389.6
20150105,14:28,8388.7,8390.75,8388.7,8390.05
20150105,14:29,8389.45,8389.75,8385.15,8386.9
20150105,14:30,8386.8,8387.1,8383.15,8384.65
20150105,14:31,8385.05,8385.05,8378.7,8379.55
20150105,14:32,8379.45,8380.1,8377,8377.45
20150105,14:33,8377.4,8378.05,8372.55,8372.85
20150105,14:34,8372.2,8372.6,8369.85,8372.55
20150105,14:35,8372.95,8376.95,8372.95,8376.85
20150105,14:36,8377.2,8377.75,8374.2,8375.3
20150105,14:37,8375.4,8375.8,8373.05,8373.5
20150105,14:38,8373.15,8376.6,8372.85,8376.6
20150105,14:39,8376.75,8378.8,8376.5,8378
20150105,14:40,8378.25,8378.6,8370.25,8370.25
20150105,14:41,8370.3,8370.3,8364.45,8365.05
20150105,14:42,8364.25,8367.2,8363.9,8367.2
20150105,14:43,8367.15,8372.9,8366.9,8372.45
20150105,14:44,8372.7,8374.35,8371.75,8374.25
20150105,14:45,8373.85,8375.1,8371.2,8371.8
